NUGET,SBOM_dependencies,CVE
system.diagnostics.debug@4.3.0,system.diagnostics.debug@4.3.0,NA
system.diagnostics.diagnosticsource@4.3.0,system.diagnostics.diagnosticsource@4.3.0,NA
system.diagnostics.diagnosticsource@5.0.0,system.diagnostics.diagnosticsource@5.0.0,NA
system.diagnostics.diagnosticsource@6.0.0,system.diagnostics.diagnosticsource@6.0.0,NA
system.diagnostics.eventlog@6.0.0,system.diagnostics.eventlog@6.0.0,NA
system.diagnostics.eventlog@7.0.0,system.diagnostics.eventlog@7.0.0,NA
system.diagnostics.performancecounter@5.0.0,system.diagnostics.performancecounter@5.0.0,NA
system.diagnostics.process@4.3.0,system.diagnostics.process@4.3.0,NA
system.diagnostics.stacktrace@4.3.0,system.diagnostics.stacktrace@4.3.0,NA
system.diagnostics.tools@4.3.0,system.diagnostics.tools@4.3.0,NA
system.diagnostics.tracing@4.3.0,system.diagnostics.tracing@4.3.0,NA
system.drawing.common@4.7.0,system.drawing.common@4.7.0,NA
system.drawing.common@5.0.0,system.drawing.common@5.0.0,NA
system.drawing.common@7.0.0,system.drawing.common@7.0.0,NA
system.dynamic.runtime@4.3.0,system.dynamic.runtime@4.3.0,NA
system.formats.asn1@5.0.0,system.formats.asn1@5.0.0,NA
system.formats.asn1@6.0.0,system.formats.asn1@6.0.0,NA
system.globalization.calendars@4.3.0,system.globalization.calendars@4.3.0,NA
system.globalization.extensions@4.3.0,system.globalization.extensions@4.3.0,NA
system.globalization@4.3.0,system.globalization@4.3.0,NA
system.identitymodel.tokens.jwt@6.24.0,system.identitymodel.tokens.jwt@6.24.0,NA
system.identitymodel.tokens.jwt@6.8.0,system.identitymodel.tokens.jwt@6.8.0,NA
system.io.compression.zipfile@4.3.0,system.io.compression.zipfile@4.3.0,NA
system.io.compression@4.3.0,system.io.compression@4.3.0,NA
system.io.filesystem.accesscontrol@5.0.0,system.io.filesystem.accesscontrol@5.0.0,NA
system.io.filesystem.primitives@4.3.0,system.io.filesystem.primitives@4.3.0,NA
system.io.filesystem@4.3.0,system.io.filesystem@4.3.0,NA
system.io.hashing@6.0.0,system.io.hashing@6.0.0,NA
system.io.packaging@6.0.0,system.io.packaging@6.0.0,NA
system.io.pipelines@5.0.0,system.io.pipelines@5.0.0,NA
system.io@4.3.0,system.io@4.3.0,NA
system.linq.async@6.0.1,system.linq.async@6.0.1,NA
system.linq.dynamic.core@1.3.1,system.linq.dynamic.core@1.3.1,NA
system.linq.expressions@4.3.0,system.linq.expressions@4.3.0,NA
system.linq@4.3.0,system.linq@4.3.0,NA
system.memory.data@1.0.2,system.memory.data@1.0.2,NA
system.memory@4.5.3,system.memory@4.5.3,NA
system.memory@4.5.4,system.memory@4.5.4,NA
system.net.http@4.3.0,system.net.http@4.3.0,NA
system.net.http@4.3.2,system.net.http@4.3.2,NA
system.net.http@4.3.4,system.net.http@4.3.4,NA
system.net.nameresolution@4.3.0,system.net.nameresolution@4.3.0,NA
system.net.primitives@4.3.0,system.net.primitives@4.3.0,NA
system.net.requests@4.0.11,system.net.requests@4.0.11,NA
system.net.sockets@4.3.0,system.net.sockets@4.3.0,NA
system.net.webheadercollection@4.0.1,system.net.webheadercollection@4.0.1,NA
system.numerics.vectors@4.5.0,system.numerics.vectors@4.5.0,NA
system.objectmodel@4.3.0,system.objectmodel@4.3.0,NA
system.private.datacontractserialization@4.1.1,system.private.datacontractserialization@4.1.1,NA
system.private.datacontractserialization@4.3.0,system.private.datacontractserialization@4.3.0,NA
system.private.servicemodel@4.10.0,system.private.servicemodel@4.10.0,NA
system.private.uri@4.3.2,system.private.uri@4.3.2,NA
system.reflection.dispatchproxy@4.7.1,system.reflection.dispatchproxy@4.7.1,NA
system.reflection.emit.ilgeneration@4.3.0,system.reflection.emit.ilgeneration@4.3.0,NA
system.reflection.emit.lightweight@4.3.0,system.reflection.emit.lightweight@4.3.0,NA
system.reflection.emit@4.3.0,system.reflection.emit@4.3.0,NA
system.reflection.extensions@4.3.0,system.reflection.extensions@4.3.0,NA
system.reflection.metadata@1.6.0,system.reflection.metadata@1.6.0,NA
system.reflection.metadata@5.0.0,system.reflection.metadata@5.0.0,NA
system.reflection.primitives@4.3.0,system.reflection.primitives@4.3.0,NA
system.reflection.typeextensions@4.3.0,system.reflection.typeextensions@4.3.0,NA
system.reflection@4.3.0,system.reflection@4.3.0,NA
system.resources.resourcemanager@4.3.0,system.resources.resourcemanager@4.3.0,NA
system.runtime.caching@4.7.0,system.runtime.caching@4.7.0,NA
system.runtime.caching@5.0.0,system.runtime.caching@5.0.0,NA
system.runtime.caching@6.0.0,system.runtime.caching@6.0.0,NA
system.runtime.compilerservices.unsafe@5.0.0,system.runtime.compilerservices.unsafe@5.0.0,NA
system.runtime.compilerservices.unsafe@6.0.0,system.runtime.compilerservices.unsafe@6.0.0,NA
system.runtime.extensions@4.3.0,system.runtime.extensions@4.3.0,NA
system.runtime.handles@4.3.0,system.runtime.handles@4.3.0,NA
system.runtime.interopservices.runtimeinformation@4.3.0,system.runtime.interopservices.runtimeinformation@4.3.0,NA
system.runtime.interopservices@4.3.0,system.runtime.interopservices@4.3.0,NA
system.runtime.numerics@4.3.0,system.runtime.numerics@4.3.0,NA
system.runtime.serialization.formatters@4.3.0,system.runtime.serialization.formatters@4.3.0,NA
system.runtime.serialization.json@4.3.0,system.runtime.serialization.json@4.3.0,NA
system.runtime.serialization.primitives@4.3.0,system.runtime.serialization.primitives@4.3.0,NA
system.runtime.serialization.xml@4.1.1,system.runtime.serialization.xml@4.1.1,NA
system.runtime@4.3.0,system.runtime@4.3.0,NA
system.security.accesscontrol@4.7.0,system.security.accesscontrol@4.7.0,NA
system.security.accesscontrol@5.0.0,system.security.accesscontrol@5.0.0,NA
